Exercise_Name;Description_URL;Exercise_Image;Exercise_Image1;muscle_gp_details;muscle_gp;equipment_details;Equipment;Rating;Description;Difficulty;Category;Exercise_Type;Goal_Tag
Exercise_Name;Description_URL;Exercise_Image;Exercise_Image1;muscle_gp_details;muscle_gp;equipment_details;Equipment;Rating;Description;Difficulty;Category;Exercise_Type;Goal_Tag
Single-Leg Press;https://www.bodybuilding.com/exercises/single-leg-press;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-50m-single-leg-leg-press-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/machine;Machine;9,6;The Single-Leg Press targets your quadriceps and is categorized under strength training. It typically uses machine equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Landmine twist;https://www.bodybuilding.com/exercises/landmine-180s;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-129s-landmine-twist-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/abdominals;Abdominals;https://www.bodybuilding.com/exercises/equipment/other;Other;9,5;The Landmine twist targets your abdominals and is categorized under stamina training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Stamina;Compound;Stamina
Weighted pull-up;https://www.bodybuilding.com/exercises/weighted-pull-ups;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-96c-weighted-pull-up-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/lats;Lats;https://www.bodybuilding.com/exercises/equipment/other;Other;9,5;The Weighted pull-up targets your lats and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Advanced;Strength;Compound;General Fitness
T-Bar Row with Handle;https://www.bodybuilding.com/exercises/t-bar-row-with-handle;https://www.bodybuilding.com/exercises/exerciseImages/sequences/1931/Male/m/1931_1.jpg;https://www.bodybuilding.com/images/2020/october/1931_2sm.jpg;https://www.bodybuilding.com/exercises/muscle/middle-back;Middle Back;https://www.bodybuilding.com/exercises/equipment/other;Other;9,5;The T-Bar Row with Handle targets your middle back and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Palms-down wrist curl over bench;https://www.bodybuilding.com/exercises/palms-down-wrist-curl-over-a-bench;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m1-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-62e-palms-down-wrist-curl-over-bench-m2-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/forearms;Forearms;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9,5;The Palms-down wrist curl over bench targets your forearms and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;General Fitness
Atlas Stones;https://www.bodybuilding.com/exercises/atlas-stones;https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/659/Male/m/659_2.jpg;https://www.bodybuilding.com/exercises/muscle/lower-back;Lower Back;https://www.bodybuilding.com/exercises/equipment/other;Other;9,5;The Atlas Stones targets your lower back and is categorized under strength training. It typically uses other equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;Fat Loss
Dumbbell front raise to lateral raise;https://www.bodybuilding.com/exercises/side-laterals-to-front-raise-;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m2-square-600x600.jpg;https://www.bodybuilding.com/images/2020/xdb/cropped/xdb-61d-dumbbell-front-raise-to-lateral-raise-m3-square-600x600.jpg;https://www.bodybuilding.com/exercises/muscle/shoulders;Shoulders;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9,5;The Dumbbell front raise to lateral raise targets your shoulders and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
Clean from Blocks;https://www.bodybuilding.com/exercises/clean-from-blocks;https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/746/Male/m/746_2.jpg;https://www.bodybuilding.com/exercises/muscle/quadriceps;Quadriceps;https://www.bodybuilding.com/exercises/equipment/barbell;Barbell;9,5;The Clean from Blocks targets your quadriceps and is categorized under strength training. It typically uses barbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Compound;General Fitness
Incline Hammer Curls;https://www.bodybuilding.com/exercises/incline-hammer-curls;https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_1.jpg;https://www.bodybuilding.com/exercises/exerciseImages/sequences/882/Male/m/882_2.jpg;https://www.bodybuilding.com/exercises/muscle/biceps;Biceps;https://www.bodybuilding.com/exercises/equipment/dumbbell;Dumbbell;9,5;The Incline Hammer Curls targets your biceps and is categorized under strength training. It typically uses dumbbell equipment. Ensure proper form and control for maximum effectiveness.;Intermediate;Strength;Isolation;Muscle Gain
